Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
2-к. квартира,66,2,16,Академическая ,21–30,nan,Собственник,47000,nan
Квартира-студия,27,2,11,Старая деревня ,21–30,nan,Собственник,30000,nan
1-к. квартира,47,16,22,Беговая ,21–30,nan,Собственник,35000,nan
Квартира-студия,28,13,19,nan,nan,р-н Красносельский,Собственник,22000,nan
Квартира-студия,25,5,24,Рыбацкое ,31,nan,Собственник,20000,nan
Квартира-студия,29,4,4,Сенная площадь ,6–10,nan,Собственник,24900,nan
1-к. квартира,44,5,25,Пионерская ,11–15,nan,Собственник,35000,nan
1-к. квартира,39.3,11,15,Звёздная ,31,nan,Собственник,25000,nan
Квартира-студия,25,9,11,nan,nan,р-н Красносельский,Собственник,30000,nan
2-к. квартира,52,2,5,Чёрная речка ,5,nan,Собственник,67000,nan
Квартира-студия,18,2,6,Площадь Восстания ,11–15,nan,Собственник,32000,nan
3-к. квартира,60.4,6,9,Гражданский проспект ,21–30,nan,Собственник,34000,nan
3-к. квартира,92,2,5,Петроградская ,6–10,nan,Собственник,50000,nan
1-к. квартира,35,9,23,Улица Дыбенко ,21–30,nan,Собственник,40000,nan
Квартира-студия,25,5,5,nan,nan,пос. Шушары,Собственник,25000,nan
1-к. квартира,32,10,12,nan,nan,р-н Красносельский,Собственник,27000,nan
Квартира-студия,25,10,10,nan,nan,пос. Шушары,Собственник,22000,nan
1-к. квартира,38.4,15,25,Проспект Просвещения ,21–30,nan,Собственник,25000,nan
3-к. квартира,90,5,5,Приморская ,6–10,nan,Собственник,55000,nan
2-к. квартира,73,6,14,Фрунзенская ,6–10,nan,Собственник,82000,nan
2-к. квартира,54,8,26,Парнас ,31,nan,Собственник,30000,nan
Квартира-студия,21.4,8,21,Академическая ,31,nan,Собственник,19000,nan
2-к. квартира,45,7,13,Звёздная ,11–15,nan,Собственник,55000,nan
2-к. квартира,50,7,9,Электросила ,16–20,nan,Собственник,30000,nan
2-к. квартира,44,2,5,Академическая ,21–30,nan,Собственник,25000,nan
2-к. квартира,63.9,1,24,Звёздная ,21–30,nan,Собственник,45000,nan
2-к. квартира,58,2,4,Площадь Восстания ,6–10,nan,Собственник,43000,nan
2-к. квартира,58,4,5,Проспект Ветеранов ,31,nan,Собственник,32000,nan
