Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
Квартира-студия,19,1,3,Чернышевская ,16–20,nan,Агентство,30000,nan
1-к. квартира,34,1,17,Звёздная ,21–30,nan,Агентство,30000,nan
1-к. квартира,36,12,21,Старая деревня ,21–30,nan,Агентство,40000,nan
1-к. квартира,30.6,5,5,Московская ,11–15,nan,Агентство,27000,nan
4-к. квартира,49,5,5,Проспект Ветеранов ,11–15,nan,Агентство,30000,nan
Квартира-студия,24,11,18,Бухарестская ,5,nan,Агентство,34000,nan
Апартаменты-студия,28,12,16,Проспект Просвещения ,6–10,nan,Агентство,31990,nan
Апартаменты-студия,20,8,10,Лиговский проспект ,6–10,nan,Агентство,43200,nan
Квартира-студия,26,8,10,Василеостровская ,21–30,nan,Агентство,35000,nan
Апартаменты-студия,29,15,16,Проспект Просвещения ,6–10,nan,Агентство,36990,nan
2-к. квартира,70,16,16,Беговая ,16–20,nan,Агентство,55000,nan
Апартаменты-студия,20,6,10,Лиговский проспект ,6–10,nan,Агентство,43200,nan
Апартаменты-студия,33,6,16,Проспект Просвещения ,6–10,nan,Агентство,35715,nan
Апартаменты-студия,30,1,4,Адмиралтейская ,16–20,nan,Агентство,35000,nan
1-к. квартира,37,9,18,Бухарестская ,5,nan,Агентство,55000,nan
2-к. квартира,52,7,22,Приморская ,6–10,nan,Агентство,50000,nan
1-к. квартира,50,10,21,Академическая ,6–10,nan,Агентство,30000,nan
Апартаменты-студия,28,7,10,Лиговский проспект ,6–10,nan,Агентство,56700,nan
Квартира-студия,23,16,18,Бухарестская ,5,nan,Агентство,34000,nan
2-к. квартира,55,11,23,nan,nan,р-н Красносельский,Агентство,35000,nan
1-к. апартаменты,28,8,10,Лиговский проспект ,6–10,nan,Агентство,53550,nan
Квартира-студия,35,3,5,Маяковская ,5,nan,Агентство,45000,nan
2-к. квартира,56,3,4,Площадь Восстания ,5,nan,Агентство,65000,nan
Квартира-студия,29,15,18,Бухарестская ,5,nan,Агентство,38000,nan
1-к. квартира,36,17,17,Проспект Ветеранов ,31,nan,Агентство,24000,nan
2-к. квартира,64,3,5,Маяковская ,5,nan,Агентство,55000,nan
1-к. квартира,45,4,5,Технологический инт I ,5,nan,Агентство,40000,nan
Квартира-студия,26.1,22,25,Парнас ,11–15,nan,Агентство,24000,nan
2-к. квартира,53,4,5,Автово ,6–10,nan,Агентство,30000,nan
3-к. квартира,85,1,14,Проспект Большевиков ,16–20,nan,Агентство,53000,nan
1-к. апартаменты,33,5,10,Лиговский проспект ,6–10,nan,Агентство,61200,nan
Апартаменты-студия,22.1,14,20,Парнас ,11–15,nan,Агентство,23000,nan
Квартира-студия,28,3,20,Комендантский проспект ,31,nan,Агентство,25000,nan
2-к. квартира,65,2,4,Невский проспект ,11–15,nan,Агентство,65000,nan
1-к. квартира,39,10,25,Пионерская ,5,nan,Агентство,35000,nan
Квартира-студия,26,5,21,Звёздная ,6–10,nan,Агентство,28000,nan
2-к. квартира,54,2,3,Обводный канал ,5,nan,Агентство,41999,nan
Квартира-студия,32,17,22,Академическая ,31,nan,Агентство,20000,nan
2-к. квартира,60,3,5,Садовая ,11–15,nan,Агентство,50000,nan
1-к. квартира,38,8,14,nan,nan,р-н Красносельский,Агентство,18000,nan
1-к. апартаменты,43,5,13,Фрунзенская ,6–10,nan,Агентство,59900,nan
Квартира-студия,22,20,23,Елизаровская ,31,nan,Агентство,23000,nan
2-к. квартира,85,2,5,Площадь А Невского II ,6–10,nan,Агентство,60000,nan
1-к. квартира,34,7,9,Купчино ,16–20,nan,Агентство,20000,nan
1-к. квартира,45,7,22,Академическая ,6–10,nan,Агентство,23000,nan
1-к. квартира,36,4,11,Ладожская ,31,nan,Агентство,30000,nan
Квартира-студия,29.3,13,15,Елизаровская ,31,nan,Агентство,27000,nan
4-к. квартира,158,7,8,Петроградская ,11–15,nan,Агентство,195000,nan
Квартира-студия,24,9,23,Купчино ,31,nan,Агентство,22000,nan
1-к. квартира,45,2,12,Купчино ,6–10,nan,Агентство,26000,nan
Квартира-студия,19,1,3,Чернышевская ,16–20,nan,Агентство,30000,nan
1-к. квартира,34,1,17,Звёздная ,21–30,nan,Агентство,30000,nan
1-к. квартира,36,12,21,Старая деревня ,21–30,nan,Агентство,40000,nan
1-к. квартира,30.6,5,5,Московская ,11–15,nan,Агентство,27000,nan
4-к. квартира,49,5,5,Проспект Ветеранов ,11–15,nan,Агентство,30000,nan
Квартира-студия,24,11,18,Бухарестская ,5,nan,Агентство,34000,nan
Апартаменты-студия,28,12,16,Проспект Просвещения ,6–10,nan,Агентство,31990,nan
Апартаменты-студия,20,8,10,Лиговский проспект ,6–10,nan,Агентство,43200,nan
Квартира-студия,26,8,10,Василеостровская ,21–30,nan,Агентство,35000,nan
Апартаменты-студия,29,15,16,Проспект Просвещения ,6–10,nan,Агентство,36990,nan
2-к. квартира,70,16,16,Беговая ,16–20,nan,Агентство,55000,nan
Апартаменты-студия,20,6,10,Лиговский проспект ,6–10,nan,Агентство,43200,nan
Апартаменты-студия,33,6,16,Проспект Просвещения ,6–10,nan,Агентство,35715,nan
Апартаменты-студия,30,1,4,Адмиралтейская ,16–20,nan,Агентство,35000,nan
1-к. квартира,37,9,18,Бухарестская ,5,nan,Агентство,55000,nan
2-к. квартира,52,7,22,Приморская ,6–10,nan,Агентство,50000,nan
1-к. квартира,50,10,21,Академическая ,6–10,nan,Агентство,30000,nan
Апартаменты-студия,28,7,10,Лиговский проспект ,6–10,nan,Агентство,56700,nan
Квартира-студия,23,16,18,Бухарестская ,5,nan,Агентство,34000,nan
2-к. квартира,55,11,23,nan,nan,р-н Красносельский,Агентство,35000,nan
1-к. апартаменты,28,8,10,Лиговский проспект ,6–10,nan,Агентство,53550,nan
